,key,doc,score,label
0,"s. 578 to improve the health and safety of americans living with food allergies and related disorders, including potentially life-threatening anaphylaxis, food protein-induced enterocolitis syndrome, and eosinophilic gastrointestinal diseases, and for other purposes.",S 578 CPS 117th.pdf_0,0.95,train
1,"s. 578 to improve the health and safety of americans living with food allergies and related disorders, including potentially life-threatening anaphylaxis, food protein-induced enterocolitis syndrome, and eosinophilic gastrointestinal diseases, and for other purposes.",S. 578 ES 117th.pdf_5,0.5,train
2,"s. 578 to improve the health and safety of americans living with food allergies and related disorders, including potentially life-threatening anaphylaxis, food protein-induced enterocolitis syndrome, and eosinophilic gastrointestinal diseases, and for other purposes.",S. 578 ES 117th.pdf_0,0.5,train
3,"s. 578 to improve the health and safety of americans living with food allergies and related disorders, including potentially life-threatening anaphylaxis, food protein-induced enterocolitis syndrome, and eosinophilic gastrointestinal diseases, and for other purposes.",S 578 ES 117th.pdf_5,0.5,train
4,"s. 578 to improve the health and safety of americans living with food allergies and related disorders, including potentially life-threatening anaphylaxis, food protein-induced enterocolitis syndrome, and eosinophilic gastrointestinal diseases, and for other purposes.",S 578 ES 117th.pdf_0,0.5,train
5,dodi 8530.01 cybersecurity activities support to dod information network operations,DoDI 8530.01 CH 1.pdf_0,0.95,train
6,dodi 8530.01 cybersecurity activities support to dod information network operations,ATP 6-02.71.pdf_115,0.5,train
7,dodi 8530.01 cybersecurity activities support to dod information network operations,AFMAN 17-1303.pdf_71,0.5,train
8,dodi 8530.01 cybersecurity activities support to dod information network operations,DoDI 8010.01.pdf_12,0.5,train
9,dodi 8530.01 cybersecurity activities support to dod information network operations,DoDI 8010.01.pdf_58,0.5,train
10,cjcsm 6510.01b cyber incident handling program,CJCSM 6510.01B.pdf_1,0.95,train
11,cjcsm 6510.01b cyber incident handling program,NAVMC 3500.124A.pdf_7616,0.5,train
12,cjcsm 6510.01b cyber incident handling program,NAVMC 3500.124A.pdf_7296,0.5,train
13,cjcsm 6510.01b cyber incident handling program,NAVMC 3500.124A.pdf_7234,0.5,train
14,cjcsm 6510.01b cyber incident handling program,NAVMC 3500.124A.pdf_7570,0.5,train
15,mission symbol,AFI 11-102.pdf_15,0.95,train
16,mission symbol,AFI 16-401.pdf_45,0.5,train
17,mission symbol,AFI 16-401.pdf_125,0.5,train
18,mission symbol,AFI 16-401.pdf_105,0.5,train
19,mission symbol,AFI 16-401.pdf_62,0.5,train
20,"cjcsi 2700.01g rationalization, standardization, and interoperability (rsi) activities",CJCSI 2700.01G.pdf_18,0.95,train
21,"cjcsi 2700.01g rationalization, standardization, and interoperability (rsi) activities",AR 34-1.pdf_60,0.5,train
22,"cjcsi 2700.01g rationalization, standardization, and interoperability (rsi) activities",AR 70-41.pdf_97,0.5,train
23,secnav m 5213.1 department of the navy forms management manual,SECNAV M-5213.1.pdf_0,0.95,train
24,secnav m 5213.1 department of the navy forms management manual,SECNAV M-5213.1.pdf_15,0.95,train
25,secnav m 5213.1 department of the navy forms management manual,OPNAVINST 3120.32D W CH-1.pdf_5010,0.5,train
26,mco 1752.5c sexual assault prevention and response (sapr) program,MCO 1752.5C.pdf_5,0.95,train
27,mco 1752.5c sexual assault prevention and response (sapr) program,MCO 1752.5C.pdf_867,0.95,train
28,mco 1752.5c sexual assault prevention and response (sapr) program,NAVMC 1752.5.pdf_0,0.5,train
29,mco 1752.5c sexual assault prevention and response (sapr) program,MARADMIN 096-21 STAFF NONCOMMISIONED OFFICER SEXUAL PREVENTION AND.html_1,0.5,train
30,mco 1752.5c sexual assault prevention and response (sapr) program,MCO 1500.63.pdf_8,0.5,train
31,mco 1752.5c sexual assault prevention and response (sapr) program,MCO 1500.63.pdf_92,0.5,train
32,mco 1752.5c sexual assault prevention and response (sapr) program,MCO 1500.63.pdf_74,0.5,train
33,mco 1752.5c sexual assault prevention and response (sapr) program,MARADMIN 047-22 ANNOUNCEMENT OF FORTHCOMING CHANGES TO SEXUAL.html_1,0.5,train
34,mco 1752.5c sexual assault prevention and response (sapr) program,MCO 5800.16 CH 2 VOLUMES 1 16.pdf_4636,0.5,train
35,mco 1752.5c sexual assault prevention and response (sapr) program,MARADMIN 241-21 CHANGE ONE TO MARINE CORPS ORDER.html_1,0.5,train
36,afi 90-821 hazard communication (hazcom) program,AFI 90-821.pdf_6,0.95,train
37,afi 90-821 hazard communication (hazcom) program,AFI 90-821.pdf_26,0.95,train
38,afi 90-821 hazard communication (hazcom) program,QTP 4B051-5.pdf_8,0.5,train
39,afi 90-821 hazard communication (hazcom) program,CFETP 2M0X2.pdf_326,0.5,train
40,afi 90-821 hazard communication (hazcom) program,AFI 91-202.pdf_275,0.5,train
41,afi 90-821 hazard communication (hazcom) program,CFETP 4E0X1.pdf_411,0.5,train
42,afi 90-821 hazard communication (hazcom) program,AFI 48-145.pdf_51,0.5,train
43,afi 90-821 hazard communication (hazcom) program,DAFMAN 91-203.pdf_279,0.5,train
44,afi 90-821 hazard communication (hazcom) program,DAFMAN 91-203.pdf_368,0.5,train
45,afi 90-821 hazard communication (hazcom) program,DAFMAN 91-203.pdf_59,0.5,train
46,dafi 36-2670 total force development,DAFI 36-2670.pdf_6,0.95,train
47,dafi 36-2670 total force development,AFJQS 2XXXX.pdf_12,0.5,train
48,dafi 36-2670 total force development,DAFI 13-504.pdf_5,0.5,train
49,dafi 36-2670 total force development,DAFI 13-504.pdf_73,0.5,train
50,dafi 36-2670 total force development,AFMAN 16-1404V1.pdf_365,0.5,train
51,dodi 4515.19 dod support for congressional funerals,DoDI 4515.19.pdf_9,0.95,train
52,dodi 4515.19 dod support for congressional funerals,DoDI 4515.19.pdf_11,0.95,train
53,dodi 4515.19 dod support for congressional funerals,CNGBI 0500.01.pdf_137,0.5,train
54,dodi 4515.19 dod support for congressional funerals,DoDM 3025.01 Volume 3 CH 1.pdf_111,0.5,train
55,dodi 4515.19 dod support for congressional funerals,DoDM 3025.01 Volume 3 CH 1.pdf_109,0.5,train
56,dodi 4515.19 dod support for congressional funerals,DoDD 1300.30.pdf_11,0.5,train
57,dodi 4515.19 dod support for congressional funerals,DoDI 1300.29.pdf_155,0.5,train
58,dodi 4515.19 dod support for congressional funerals,AR 220-90.pdf_127,0.5,train
59,dodi 5000.93 use of additive manufacturing in the dod,DoDI 5000.93 CH 1.pdf_14,0.95,train
60,dodi 5000.93 use of additive manufacturing in the dod,DAFI 63-149.pdf_0,0.5,train
61,tardiness,AI 67 CH 2.pdf_21,0.95,train
62,tardiness,MCO 5580.2B.pdf_3438,0.5,train
63,tardiness,AR 690-752.pdf_43,0.5,train
64,tardiness,OPNAVINST 1500.75D.pdf_354,0.5,train
65,tardiness,MCO 1001R.1L W CH 1.pdf_1754,0.5,train
66,ar 700-137 logistics civil augmentation program,AR 700-137.pdf_4,0.95,train
67,ar 700-137 logistics civil augmentation program,AR 700-147.pdf_120,0.5,train
68,ar 700-137 logistics civil augmentation program,TB MED 577.pdf_1055,0.5,train
69,ar 700-137 logistics civil augmentation program,AR 700-135.pdf_9,0.5,train
70,ar 700-137 logistics civil augmentation program,AR 700-135.pdf_8,0.5,train
71,ar 740-1 storage and supply activity operations,AR 740-1.pdf_1,0.95,train
72,ar 740-1 storage and supply activity operations,AR 740-1.pdf_6,0.95,train
73,ar 740-1 storage and supply activity operations,AR 740-1.pdf_46,0.95,train
74,ar 740-1 storage and supply activity operations,AR 740-1.pdf_2,0.95,train
75,ar 740-1 storage and supply activity operations,AR 740-1.pdf_25,0.95,train
76,ar 740-1 storage and supply activity operations,AR 740-26.pdf_57,0.5,train
77,ar 740-1 storage and supply activity operations,TRADOC TR350-71.pdf_210,0.5,train
78,ar 740-1 storage and supply activity operations,STP 10-92A34-SM-TG.pdf_1387,0.5,train
79,ar 740-1 storage and supply activity operations,AR 700-28.pdf_136,0.5,train
80,ar 740-1 storage and supply activity operations,AR 700-146.pdf_9,0.5,train
81,ar 740-1 storage and supply activity operations,USAR REG 740-1.pdf_8,0.5,train
82,ar 740-1 storage and supply activity operations,USAR REG 740-1.pdf_1,0.5,train
83,ar 740-1 storage and supply activity operations,AR 700-138.pdf_131,0.5,train
84,ar 740-1 storage and supply activity operations,AR 710-2.pdf_188,0.5,train
85,ar 740-1 storage and supply activity operations,AR 710-2.pdf_104,0.5,train
86,ar 740-1 storage and supply activity operations,AR 710-2.pdf_136,0.5,train
87,ar 740-1 storage and supply activity operations,AR 40-61.pdf_68,0.5,train
