query,matching_paragraphs,num_matching_paragraphs,num_matching_docs,nonmatching_paragraphs,num_nonmatching_paragraphs,num_nonmatching_docs,label,overlap,par_balance,doc_balance
1220.1f,"['OPNAVINST 1220.1F.pdf_2', 'OPNAVINST 1220.1F.pdf_27', 'OPNAVINST 1220.1F.pdf_43', 'OPNAVINST 1220.1F.pdf_59', 'OPNAVINST 1220.1F.pdf_76']",5,1,['NAVADMIN 233_21.txt_4'],1,1,train,0,5.0,1.0
12301(d),['DoDD 1200.17.pdf_20'],1,1,"['MCO 3500_26A_W_CH 1.pdf_5616', 'MCO 1050.3J.pdf_625', 'CIM 3501.6.pdf_2606', 'MCO 3500.26A.pdf_5616']",4,4,train,0,0.25,0.25
1400.25,"['DoDD 1400.25.pdf_8', 'DoDD 1400.25.pdf_11', 'DoDD 1400.25.pdf_3', 'DoDD 1400.25.pdf_15', 'DoDD 1400.25.pdf_5']",5,1,"['AFPD 36-1.pdf_13', 'AFPD 36-1.pdf_23', 'SECNAVINST 12250.6B.pdf_33', 'TRADOC TM600-18.pdf_120', 'DoDI 1400.25 Volume 1705.pdf_31', 'DoDI 1400.25 Volume 1705.pdf_21', 'HAFMD 1-24_Addendum-A.pdf_67', 'HAFMD 1-24_Addendum-A.pdf_65', 'HAFMD 1-24_Addendum-A.pdf_63', 'HAFMD 1-24_Addendum-A.pdf_61', 'HAFMD 1-24_Addendum-A.pdf_60', 'BUMEDINST 12500.3.pdf_11', 'NAVMED P-117 MANMED CHANGE 141.pdf_657', 'NAVMED P-117 MANMED CHANGE 141.pdf_500', 'DoDI 1400.25 Volume 631.pdf_21', 'DoDI 1400.25 Volume 631.pdf_2', 'DoDI 1400.25 Volume 631.pdf_112', 'DoDI 1400.25 Volume 543.pdf_8', ""DoDFMR, 'V8 CH1.pdf_40"", 'BUMEDINST 12351.1B.pdf_11']",20,11,train,0,0.25,0.09090909090909091
21-101,"['DAFI 21-101.pdf_5', 'DAFI 21-101.pdf_224', 'DAFI 21-101.pdf_8', 'DAFI 21-101.pdf_440', 'DAFI 21-101.pdf_47']",5,1,"['H.R. 3558 IH 117th.pdf_2', 'AFJQS 2S0X1.pdf_85', 'AFJQS 2S0X1.pdf_87', 'AFJQS 2S0X1.pdf_67', 'AFJQS 2S0X1.pdf_68', 'AFJQS 2S0X1.pdf_81', 'CFETP 2W0X1C1.pdf_342', 'CFETP 2W0X1C1.pdf_316', 'CFETP 2W0X1C1.pdf_278', 'CFETP 2W0X1C1.pdf_319', 'CFETP 2W0X1C1.pdf_359', 'H.R. 3382 IH 117th.pdf_2', 'H.R. 3382 IH 117th.pdf_1', 'CFETP 2S0XX.pdf_148', 'CFETP 2S0XX.pdf_591', 'S. 1861 IS 117th.pdf_2', 'NAVMC 3500.50E.pdf_433', 'CFETP 2M0X3.pdf_279', 'CFETP 2M0X3.pdf_281', 'CFETP 2M0X3.pdf_1168']",20,8,train,0,0.25,0.125
36-2618,"['AFH 36-2618.pdf_1', 'AFH 36-2618.pdf_48', 'AFH 36-2618.pdf_7', 'AFH 36-2618.pdf_30', 'AFH 36-2618.pdf_46']",5,1,"['CFETP 2P0X1.pdf_261', 'CFETP 3D0X1.pdf_114', 'CFETP 3F5X1.pdf_98', 'CFETP 2A6X3.pdf_366', 'CFETP 2R1X1.pdf_350', 'CFETP 4H0X1.pdf_49', 'CFETP 1W0XXC4.pdf_78', 'CFETP 1P0X1.pdf_1921', 'CFETP 2T0X1.pdf_208', 'CFETP 2T0X1.pdf_214', 'CFETP 2A9X1X.pdf_309', 'CFETP 4V0X1.pdf_363', 'CFETP 35B.pdf_484', 'CFETP 35B.pdf_374', 'CFETP 4R0X1.pdf_341', 'CFETP 4R0X1.pdf_342', 'CFETP 15WX.pdf_357', 'AFI 11-301V1.pdf_109', 'CFETP 1W0XXC3.pdf_80', 'CFETP 2W0X1C1.pdf_278']",20,17,train,0,0.25,0.058823529411764705
36-2706,['DAFI 36-2710.pdf_31'],1,1,"['CFETP 3F4X1.pdf_408', 'CFETP 3F4X1.pdf_507', 'CFETP 3F4X1.pdf_655', 'CFETP 3F4X1.pdf_432']",4,1,train,0,0.25,1.0
4500.56,"['DoDD 4500.56 CH 5.pdf_7', 'DoDD 4500.56 CH 5.pdf_45', 'DoDD 4500.56 CH 5.pdf_51', 'DoDD 4500.56 CH 5.pdf_66', 'DoDD 4500.56 CH 5.pdf_81']",5,1,"['OPNAVINST 4631.2F.pdf_7', 'OPNAVINST 1571.1C.pdf_13', 'NAVMC 3500.96B.pdf_4185', 'TRADOC TR37-2.pdf_259', 'CNGBI 0800.02A.pdf_80', 'CJCSI 5905.01.pdf_93', 'CFETP 21RX.pdf_287', 'CFETP 21RX.pdf_711', 'CJCSI 4520.02E.pdf_72', 'CJCSI 4520.02E.pdf_54', 'ARMY DIR 2017-05.pdf_273', 'ARMY DIR 2017-05.pdf_350', 'ARMY DIR 2017-05.pdf_38', 'ARMY DIR 2017-05.pdf_41', 'ARMY DIR 2017-05.pdf_247', 'HAFMD 1-6.pdf_70', 'MCO 7040.11A.pdf_5', 'DoDI 4500.43 CH 4.pdf_8', 'DoDI 4500.43 CH 4.pdf_82', 'DoDI 4500.43.pdf_53']",20,13,train,0,0.25,0.07692307692307693
48-101,"['AFI 48-101.pdf_11', 'AFI 48-101.pdf_40', 'AFI 48-101.pdf_35', 'AFI 48-101.pdf_32', 'AFI 48-101.pdf_6']",5,1,"['AFJQS 3F1X1-2.pdf_69', 'MARADMIN 110-15 MCBUL 7220 CHANGE 3 TO THE.html_1', 'MCO 5230.12H ADMIN CH 1-2.pdf_33', 'MCO 5230.12H ADMIN CH 1-2.pdf_102', 'MCO 5230.12H ADMIN CH 1-2.pdf_199', 'CFETP 2S0XX.pdf_1053', 'MCO 5320.12H.pdf_33', 'MCO 5320.12H.pdf_102', 'MCO 5320.12H.pdf_199', 'AFMAN 23-122.pdf_514', 'AFMAN 23-122.pdf_1054', 'NAVMC 3500.50E.pdf_416', 'QTP 4E0X1-2.pdf_422', 'QTP 4E0X1-2.pdf_123', 'QTP 4E0X1-2.pdf_183', 'PAM 600-8-101.pdf_136', 'QTP 4E0X1-1.pdf_307', 'QTP 4E0X1-1.pdf_88', 'CFETP 3F1X1.pdf_337', 'CFETP 3F1X1.pdf_339']",20,11,train,0,0.25,0.09090909090909091
5240.01,"['DoDD 5240.01 CH 3.pdf_19', 'DoDD 5240.01 CH 3.pdf_35', 'DoDD 5240.01 CH 3.pdf_46', 'DoDD 5240.01 CH 3.pdf_62', 'DoDD 5240.01 CH 3.pdf_77']",5,1,"['OPNAVINST 3120.32D W CH-1.pdf_870', 'OPNAVINST 3120.32D W CH-1.pdf_1160', 'DoDD 5240.01 CH 2.pdf_19', 'CJCSI 5901.01C.pdf_246', 'CJCSI 3340.02B.pdf_192', 'COMNAVRESFORCOMINST 5041.9.pdf_22', 'COMNAVRESFORCOMINST 5041.9.pdf_24', 'CJCSI 3317.01.pdf_293', 'CJCSI 3317.01.pdf_294', 'DoDI 3115.14 CH 2.pdf_8', 'CNGBI 2500.00.pdf_80', 'CFETP 1A8X2.pdf_320', 'CFETP 51JX.pdf_1540', 'CFETP 51JX.pdf_1539', 'CFETP 51JX.pdf_1541', 'CFETP 51JX.pdf_1542', 'CFETP 1N8X1.pdf_362', 'SECNAVINST 3820.3F.pdf_127', 'SECNAVINST 3820.3F.pdf_197', 'SECNAVINST 3820.3F.pdf_187']",20,12,train,0,0.25,0.08333333333333333
5510.30c,"['SECNAVINST 5510.30C.pdf_2', 'SECNAVINST 5510.30C.pdf_11', 'SECNAVINST 5510.30C.pdf_19', 'SECNAVINST 5510.30C.pdf_34', 'SECNAVINST 5510.30C.pdf_45']",5,1,"['BUPERSINST 5510.61D CH1.pdf_11', 'MILPERSMAN 1306-997.pdf_5', 'MILPERSMAN 1220-010.pdf_4', 'BUMEDINST 5510.9A.pdf_15', 'MILPERSMAN 1306-949.pdf_5', 'NAVADMIN 292_21.txt_5', 'NAVADMIN 323_20.txt_12', 'NAVADMIN 165_20.txt_5', 'BUPERSINST 5510.61D w_CH1.pdf_2', 'MARADMIN 166-20 FISCAL YEAR 2021 MECEP, ECP, RECP.html_1', 'MARADMIN 731-21 CALENDAR YEAR 2022 MARINE CORPS RECRUITING.html_1', 'MARADMIN 261-21 FISCAL YEAR 2022 MECEP, ECP, RECP.html_1']",12,12,train,0,0.4166666666666667,0.08333333333333333
