idvisit,idaction_name,document,documenttime,search_cat,search,searchtime
205281,21244,DTM-20-004.pdf,2021-04-23T11:15:11.000Z,GAMECHANGER_gamechanger_combined,cybersecurity dod directive 2021,2021-04-23T11:14:15.000Z
205281,21244,DTM-20-004.pdf,2021-04-23T11:15:10.000Z,GAMECHANGER_gamechanger_combined,cybersecurity dod directive 2021,2021-04-23T11:14:15.000Z
205281,21241,DoDD 8750.01-M Remains in Effect to Implement the Policy in DoDD 8140.01.pdf,2021-04-23T11:13:58.000Z,GAMECHANGER_gamechanger_combined,cybersecurity dod directive,2021-04-23T11:13:24.000Z
205281,21241,DoDD 8750.01-M Remains in Effect to Implement the Policy in DoDD 8140.01.pdf,2021-04-23T11:13:58.000Z,GAMECHANGER_gamechanger_combined,cybersecurity dod directive,2021-04-23T11:13:24.000Z
205281,21241,DoDD 8750.01-M Remains in Effect to Implement the Policy in DoDD 8140.01.pdf,2021-04-23T11:13:57.000Z,GAMECHANGER_gamechanger_combined,cybersecurity dod directive,2021-04-23T11:13:24.000Z
205484,21289,CJCSM 5120.01B.pdf,2021-04-23T13:20:45.000Z,GAMECHANGER_gamechanger_combined,&quot;department of defense&quot; and &quot;policy&quot;,2021-04-23T13:20:31.000Z
205484,21289,CJCSM 5120.01B.pdf,2021-04-23T13:20:45.000Z,GAMECHANGER_gamechanger_combined,&quot;department of defense&quot; and &quot;policy&quot;,2021-04-23T13:20:31.000Z
205484,21289,CJCSM 5120.01B.pdf,2021-04-23T13:20:44.000Z,GAMECHANGER_gamechanger_combined,&quot;department of defense&quot; and &quot;policy&quot;,2021-04-23T13:20:31.000Z
205484,21259,H.Res 299 IH 117th.pdf,2021-04-23T13:06:51.000Z,GAMECHANGER_gamechanger_combined,army OR &quot;ground forces&quot;,2021-04-23T13:05:56.000Z
205484,21259,H.Res 299 IH 117th.pdf,2021-04-23T13:06:50.000Z,GAMECHANGER_gamechanger_combined,army OR &quot;ground forces&quot;,2021-04-23T13:05:56.000Z
205484,21259,ARMY DIR 2021-11.pdf,2021-04-23T13:00:00.000Z,GAMECHANGER_gamechanger_combined,army OR &quot;ground forces&quot;,2021-04-23T12:58:30.000Z
205484,21259,ARMY DIR 2021-11.pdf,2021-04-23T12:59:59.000Z,GAMECHANGER_gamechanger_combined,army OR &quot;ground forces&quot;,2021-04-23T12:58:30.000Z
205537,21253,AFMAN 11-301V4.pdf,2021-04-23T12:43:51.000Z,GAMECHANGER_gamechanger_combined,COR checklist,2021-04-23T12:43:28.000Z
205537,21253,AFMAN 11-301V4.pdf,2021-04-23T12:43:51.000Z,GAMECHANGER_gamechanger_combined,COR checklist,2021-04-23T12:43:28.000Z
205537,21253,AFMAN 11-301V4.pdf,2021-04-23T12:43:50.000Z,GAMECHANGER_gamechanger_combined,COR checklist,2021-04-23T12:43:28.000Z
205627,21273,PAM 220-1.pdf,2021-04-23T13:15:04.000Z,GAMECHANGER_gamechanger_combined,&quot;operational readiness&quot; metrics,2021-04-23T13:09:39.000Z
205627,21273,PAM 220-1.pdf,2021-04-23T13:15:03.000Z,GAMECHANGER_gamechanger_combined,&quot;operational readiness&quot; metrics,2021-04-23T13:09:39.000Z
205627,21273,S 116 IS 117th.pdf,2021-04-23T13:14:22.000Z,GAMECHANGER_gamechanger_combined,&quot;operational readiness&quot; metrics,2021-04-23T13:09:39.000Z
205627,21273,S 116 IS 117th.pdf,2021-04-23T13:14:22.000Z,GAMECHANGER_gamechanger_combined,&quot;operational readiness&quot; metrics,2021-04-23T13:09:39.000Z
205627,21273,S 116 IS 117th.pdf,2021-04-23T13:14:21.000Z,GAMECHANGER_gamechanger_combined,&quot;operational readiness&quot; metrics,2021-04-23T13:09:39.000Z
205627,21273,2016 - GAO - Military Readiness DoDs Readiness Rebuilding Efforts.pdf,2021-04-23T13:10:48.000Z,GAMECHANGER_gamechanger_combined,&quot;operational readiness&quot; metrics,2021-04-23T13:09:39.000Z
205627,21273,2016 - GAO - Military Readiness DoDs Readiness Rebuilding Efforts.pdf,2021-04-23T13:10:47.000Z,GAMECHANGER_gamechanger_combined,&quot;operational readiness&quot; metrics,2021-04-23T13:09:39.000Z
205637,21267,DoDFMR V2BCH9.pdf,2021-04-23T13:06:49.000Z,GAMECHANGER_gamechanger_combined,090105,2021-04-23T13:06:41.000Z
205637,21267,DoDFMR V2BCH9.pdf,2021-04-23T13:06:48.000Z,GAMECHANGER_gamechanger_combined,090105,2021-04-23T13:06:41.000Z
205663,21280,AFPD 10-3.pdf,2021-04-23T13:16:21.000Z,GAMECHANGER_gamechanger_combined,operational reserve,2021-04-23T13:14:48.000Z
205663,21280,AFPD 10-3.pdf,2021-04-23T13:16:20.000Z,GAMECHANGER_gamechanger_combined,operational reserve,2021-04-23T13:14:48.000Z
