file_name,content
DoDD 1350.2 CH 2.json,"The Deputy Secretary of Defense, who shall serve as Chair."
DoDD 1350.2 CH 2.json,"The Under Secretary of Defense for Personnel and Readiness, who shall serve as the Vice-chair."
DoDD 1350.2 CH 2.json,"The Deputy Assistant Secretary of Defense for Equal Opportunity (DASD(EO)), who shall serve as the Executive Secretary."
DoDD 2000.17.json,"When the United States is elected chair of the Committee, the United States shall serve as chair of the Committee for a period of 2 years, as delineated by reference (b)."
DoDD 2060.02.json,"Serves as the principal advisor to the USD(P) and the Secretary of Defense for developing, coordinating, and overseeing the implementation and integration of DoD CWMD strategy and policies to support achievement of the objectives outlined in Paragraph 1.2.c., and serves as the primary point of contact within the Office of the USD(P) for CWMD."
DoDD 2311.01.json,"The Assistant Secretary of Defense for Legislative Affairs serves as the DoD liaison between the DoD and Congress on all matters related to the DoD Law of War Program and provides legislative affairs guidance, as appropriate, to the DoD Components."
DoDD 3100.10 CH 1.json,"c. Chair of the Defense Space Council, which shall serve as the principal advisory forum on all space matters for the PDSA, DoD Component Heads, and the OSD PSAs to facilitate the fulfillment of their collective space program functions and responsibilities."
DoDD 3100.16 CH 1.json,"The USD(P), in accordance with (IAW) DoDD 5111.1 and National Security Presidential Directive 49 (References (e) and (f)), shall serve as the overall Principal Staff Assistant and advisor to the Secretary and Deputy Secretary of Defense and as DoD focal point for overall space professional cadre management policies and procedures."
DoDD 3222.04 CH 2.json,"The Vice CJCS serves as the co-chair of the EW EXCOM and, with the USD(AT&L), presents issues relating to EW acquisition and development to the Secretary of Defense, the Deputy Secretary of Defense, and the Deputy’s Management Action Group."
DoDD 4180.01 CH 2.json,j. Implements policies and provides guidance to the DoD Components for managing facility energy resources and investments and serves as the primary adviser for facility energy matters in accordance with DoDI 4170.11 (Reference (g)).
DoDD 4500.56 CH 5.json,"The Chief of the U.S. Air Force, Special Air Missions Division (CVAM) shall serve as the Chief of the EASA and point of contact when collaborative scheduling is required for DoD Combatant Command support aircraft (CCSA) and executive aircraft and shall: a."
DoDD 5000.71 CH 2.json,The DepSecDef serves as the Chair of the Warfighter SIG.
DoDD 5030.19 CH 2.json,"e. The PBFA serves as the DoD liaison with the Department of Transportation and the FAA on federal aviation matters and issues that affect the collective members of the PBFA, except for matters pertaining to Reference (k), and will appoint a National Airspace System Requirements Officer as required."
DoDD 5100.01 CH 1.json,"OSD comprises the Deputy Secretary of Defense, who also serves as the Chief Operating Officer of the Department of Defense; the Under Secretaries of Defense; the Chief Management Officer of the Department of Defense (CMO); the General Counsel of the Department of Defense (GC DoD); the Assistant Secretaries of Defense; the Assistants to the Secretary of Defense; the OSD Directors, and equivalents, who report directly to the Secretary or the Deputy Secretary of Defense; their staffs; the IG DoD; and such other staff offices within OSD established by law or the Secretary of Defense to assist in carrying out assigned responsibilities."
DoDD 5100.01 CH 1.json,"Pursuant to section 113 of Reference (e), the Secretary of Defense is the principal assistant and advisor to the President on Defense matters and serves as the leader and chief executive officer of the Department."
