file_name,content
DoDI 1000.31.json,"The USD(P&R) serves as the Secretary of Defense’s principal advisor on the policy, provision, integration, interoperability, and related support services for AT, AT devices, and AT services to increase access for individuals with disabilities."
DoDI 1015.13.json,"The Principal Deputy Under Secretary of Defense for Personnel and Readiness, under the Under Secretary of Defense for Personnel and Readiness, shall serve as the principal DoD focal point for all NAF PPV matters."
DoDI 1015.15 CH 1.json,"The Assistant Secretary of Defense for Public Affairs, (ASD(PA)), shall serve as the principal point of contact on Armed Forces Information Service publications (to include the “Stars and Stripes”) within the Military Departments in accordance with DoD Directive 5122.5 (Reference (z))."
DoDI 1205.12 CH 1.json,"a. ESGR is the primary DoD office for all matters concerning employer support of the National Guard and Reserve, and serves as the lead proponent for USERRA matters within DoD."
DoDI 1215.15 CH 1.json,A designated Service member within the Office of the ASD(M&RA) who coordinates policy issues relating to the program and serves as a point of contact for the MREP Administrators.
DoDI 1225.06 CH 1.json,"The Combatant Commanders, in coordination with the Directors of Defense Agencies and DoD Field Activities, as applicable, shall provide the personnel, equipment, facilities, and other general logistic support necessary to enable all RC DoDI 1225.06, May 16, 2012 Change 1, 11/30/2017 ENCLOSURE 2 9 units and attached RC members (e.g., individual mobilization augmentees) under their jurisdiction to satisfy the training, HD and DSCA, operational, mobilization, and readiness requirements for those units and Reserves as recommended by the CJCS (see References (c) and (d)), and approved by the Secretary of Defense."
DoDI 1330.17 CH 2.json,"When an exchange serves as the vendor of merchandise items authorized pursuant to section 2484(c)(1) of Reference (c) and in accordance with section 2 of Enclosure 4 of this instruction, any revenue above DeCA’s cost of procuring the merchandise will be deposited to the DeCA Surcharge Account and treated as surcharge funds pursuant to section 2484(c)(3)(B) of Reference (c)."
DoDI 1341.08 CH 1.json,"The Under Secretary of Defense for Intelligence and Security shall serve as the principal staff advisor and assistant to the Secretary of Defense for implementation of this Instruction and shall, as required or requested, provide guidance to the Heads of DoD Components."
DoDI 1354.01.json,"The Deputy Under Secretary of Defense (Program Integration), under the Under Secretary of Defense for Personnel and Readiness, shall serve as the administrative point of contact in the Office of the Secretary of Defense for all matters relating to this Instruction."
DoDI 1400.25 Volume 1100 CH 1.json,"Under the authority, direction, and control of the USD(P&R), the Director DoDHRA, maintains responsibility and oversight over DCPAS provides support to the DASD(CPP), as appropriate, in the execution of the duties and responsibilities in this volume and serves as the acquisition executive for DoD CHRM-IT solutions."
DoDI 1400.25 Volume 1408.json,"In accordance with DoDD 5118.03, the Under Secretary of Defense (Comptroller)/Chief Financial Officer, Department of Defense, serves as the Principal Staff Assistant and advisor to DoDI 1400.25-V1408, August 28, 2020 SECTION 2: RESPONSIBILITIES 9 the Secretary of Defense for financial management, establishing and supervising the execution of uniform DoD policies, principles, and procedures for accounting systems, including those involving NAFs."
DoDI 1400.25 Volume 2012.json,g. Recommended performance-based salary increases and bonus recommendations generated by the algorithm shall serve as the starting point for making annual performance-based salary increase and bonus decisions in accordance with the guidance in SOPs for the DoD Components with DCIPS positions.
DoDI 1400.25 Volume 920 CH 1.json,The Deputy Secretary of Defense serves as the appointing authority for all other SES positions other than DISES positions and those in the Office of the Inspector General of the Department of Defense.
DoDI 1400.25 Volume 920.json,The Deputy Secretary of Defense serves as the appointing authority for all other SES positions other than DISES positions and those in the Office of the Inspector General of the Department of Defense.
DoDI 1402.03 VOLUME 2 CH 2.json,"The Director, HRD, serves as the ERB Executive Secretary and is a non-voting member of the ERB."
DoDI 1402.03 VOLUME 2 CH 2.json,"The Assistant Director (AD), OSD SEMO, serves as the alternate Executive Secretary for the ERB and subsequent panels requiring documentation."
DoDI 1442.02.json,"The DA&M serves as the manager of all SES resources outside the Military Departments and the Combatant Commands, in accordance with DoDDs 1402.3 and 1403.1 (References (q) and (r))."
DoDI 1442.02.json,"(4) The Director, DoD Standards of Conduct Office, shall serve as the Executive Secretary of the DoD OGC/DLSA Professional Conduct Board."
DoDI 2040.02 CH 1.json,"The TSFDO serves as the executive secretariat for the Arms Transfer and Technology Release Senior Steering Group (ATTR SSG), and reviews, processes, and tracks priority technology security and foreign disclosure (TSFD) requests that impact TSFD release requests in accordance with Deputy Secretary of Defense Memorandum (Reference (l))."
DoDI 3000.12 CH 1.json,The GPEC serves as DoD’s senior body overseeing posture processes and managing GDP alignment efforts for the SecDef and Deputy Secretary of Defense (DepSecDef).
DoDI 3000.12 CH 1.json,"The Office of the DASD(PLANS), assisted by J-5 DDJSP, serves as Executive Secretary for the GPIT and GPEC and performs the following functions: (1) Schedules GPIT and GPEC meetings."
DoDI 3002.04 CH 1.json,"The CJCS serves as the principal military advisor to the Secretary of Defense for personnel recovery and PE activities, including the development and use of foreign forces, irregular forces, groups, or individuals to enable U.S. objectives."
DoDI 3003.01 CH 1.json,The USD(P) shall serve as the principal civilian advisor to the Secretary of Defense on civil SAR.
DoDI 3020.47.json,"e. Along with the CJCS designees, serves as the lead DoD point of contact (POC) to the NEP in the Domestic Resilience Group (DRG), chaired by the National Security Council (NSC), and Exercise Implementation Committee (EIC), chaired by the Federal Emergency Management Agency (FEMA), in support of the NEP in accordance with the NEP Base Plan and NEP Implementation Plan."
DoDI 3020.47.json,"(2) Deputy Directors in the Joint Staff J7 are the CJCS-assigned designees, as follows: (a) Joint Staff J7 Deputy Director of Joint Training is the CJCS assigned designee for E&E sub-PCC and EIC; additionally serves as lead for NEP activities, including nominations, planning, coordination, and execution of the NEP."
DoDI 3020.47.json,"OSD comprises the Deputy Secretary of Defense, who also serves as the Chief Management Officer of the Department of Defense; the Under Secretaries of Defense; the Deputy Chief Management Officer of the Department of Defense (DCMO); the General Counsel of the Department of Defense (GC DoD); the Assistant Secretaries of Defense (ASDs); the Assistants to the Secretary DoDI 3020.47, January 29, 2019 GLOSSARY 18 of Defense (ATSDs); the OSD Directors, and equivalents, who report directly to the Secretary or the Deputy Secretary of Defense; their staffs; the IG DoD; and such other staff offices within OSD established by law or the Secretary of Defense to assist in carrying out assigned responsibilities."
DoDI 3025.19 CH 1.json,"f. Inform the CJCS of all RFAs and requests for information (RFIs) from the USSS, if not received directly from the DoD Executive Secretary (ExecSec); or if an RFA or RFI is received for a single capability for which the Head of a DoD Component is the OPR or serves as a DoD DoDI 3025.19, November 29, 2011 Change 1, 03/13/2017 ENCLOSURE 2 10 Executive Agent."
DoDI 3025.19 CH 1.json,"DISA shall serve as the sole authorized DoD activity, except for support provided by the White House Communications Agency, to coordinate approved communications missions for the USSS, and in this capacity shall: (1) Provide communications support to the USSS pursuant to approved RFAs, in coordination with the ExecSec and the ASD(HD&GS) and in accordance with current administrative and financial processes for such support."
DoDI 3025.21 CH 1.json,"The Commanders of USNORTHCOM, USINDOPACOM, and USSOCOM shall serve as the financial managers responsible for DoD oversight of all operations executed in their areas of responsibility in accordance with section 11 of Enclosure 2 of this Instruction."
DoDI 3115.17 CH 1.json,"The Director, DIA serves as the DoD FM/A or designates another senior DoD official as DoD FM/A."
DoDI 3115.17.json,"The Director, DIA serves as the DoD FM/A or designates another senior DoD official as DoD FM/A."
DoDI 3150.10 CH 1.json,Appoint a DCO and defense coordinating element consistent with Reference (g) who shall serve as the single point of contact at the JFO for requesting assistance from the Department of Defense.
DoDI 3150.10 CH 1.json,"d. Appoint a DCO and defense coordinating element, consistent with Reference (g), who shall serve as the single point of contact at the JFO for requesting assistance from the Department of Defense."
DoDI 3216.01.json,"In addition to the responsibilities in Paragraph 2.5, the Chief of the National Guard Bureau serves as the: a."
DoDI 3222.03 CH 2.json,The DoD E3 IPT serves as the responsible body for addressing DoD-wide E3 matters on behalf of the DoD Chief Information Officer (DoD CIO) in support of the DoD E3 Program.
DoDI 3300.07 CH 2.json,"(1) Provides subject matter expertise on DoD and IC policies and initiatives, and serves as a forum to facilitate and coordinate intelligence foreign language and regional and culture initiatives, and promote Defense Intelligence foreign language and regional and culture capabilities, in accordance with DoDD 5160.41E and ICD 630."
DoDI 3305.09 CH 1.json,"The ADET serves as TDNC, and Commandant of the NCS."
DoDI 3305.09 CH 2.json,"The ADET serves as TDNC, and Commandant of the NCS."
DoDI 3305.13 CH 1.json,g. Manages the DSTC: (1) The DSTC serves as an advisory body on DoD security education and training to the USD(I) and is managed by the Director of the DSS as the functional manager for the execution of DoD security training.
DoDI 3305.13 CH 2.json,g. Manages the DSTC: (1) The DSTC serves as an advisory body on DoD security education and training to the USD(I&S) and is managed by the Director of the DSS as the functional manager for the execution of DoD security training.
DoDI 3608.11.json,"The Commander, United States Strategic Command shall serve as the operational advocate for the IO Career Force."
DoDI 4150.07.json,"(2) The deputy director is an active-duty Army or Navy medical entomology officer or Air Force public health officer (43H3E), in the grade O-5 or O-6, who serves as the director in the absence of the director."
DoDI 4170.11 CH 2.json,The DLA distribution centers shall serve as the focal point for the DoD program to procure energy and water efficient products.
DoDI 4500.57 CH 3.json,"In addition to the responsibilities in Paragraph 2.5., the Secretary of the Army serves as the single manager for procurement of railcars and locomotives and for the operation of a national inventory control point for railroad equipment, including the Defense Freight Railway Interchange Fleet (DFRIF)."
DoDI 4630.09 CH 1.json,"The Office of the DoD CIO serves as the disposition authority for waveform reviews, issuing dispositions at each stage as outlined in Table 1."
DoDI 4630.09.json,"p. The Office of the DoD CIO serves as the disposition authority for waveform reviews, issuing dispositions at each stage as outlined in Table 1."
DoDI 4650.06.json,"Under the authority, direction, and control of the DoD CIO, the Director, DISA serves as the programmatic lead for the CTD program and is responsible for: a."
DoDI 5000.02.json,"In accordance with the November 16, 2018 DepSecDef memorandum, serves as an advisor in the preparation of major defense acquisition program (MDAP) analysis of alternatives study guidance."
DoDI 5000.02T CH 7.json,"Pre-Development begins upon receipt of either a validated UON, approval of a critical warfighter issue statement by the co-chairs of the Warfighter SIG per DoD Directive DoDI 5000.02, January 7, 2015 Change 7, 04/21/2020 ENCLOSURE 12 143 5000.71, or a Secretary of Defense or Deputy Secretary of Defense RAA determination document, where the associated documentation serves as the justification to continue the action until such time as the disposition action discussed in paragraph 4e(5) of this enclosure."
DoDI 5000.35 CH 2.json,"In exercising these responsibilities, the Deputy Director of DPAP for DARS serves as the DAR Council Director and in that role shall: DoDI 5000.35, October 21, 2008 Change 2, 08/31/2018 ENCLOSURE 2 6 a."
DoDI 5000.66 CH 2.json,"The President, DAU, serves as the chief learning officer for the DoD acquisition community."
DoDI 5000.70 CH 3.json,"A USD(AT&L) organization that serves as the DoD focal point for coordinating all matters related to DoD M&S and performs key DoD M&S enterprise-level coordination functions necessary to encourage cooperation, synergism, and cost-effectiveness among the M&S activities of the DoD Components."
DoDI 5000.81.json,"Pre-development begins upon receipt of either a validated UON, approval of a critical warfighter issue statement by the co-chairs of the Warfighter SIG per DoDD 5000.71, or a SecDef or DepSecDef RAA determination document, where the associated documentation serves as justification to continue the action until such time as the disposition action discussed in Paragraph 4.5.e."
DoDI 5030.56 CH 1.json,"The Assistant Secretary of Defense for Readiness and Force Management, under the authority, direction, and control of the Under Secretary of Defense for Personnel and Readiness, shall serve as the Consumer Affairs Advisor to the Secretary of Defense."
DoDI 5040.07 CH 1.json,"The ATSD(PA), consistent with Reference (b), shall serve as the OSD Principal Staff Assistant for policies and procedures related to the VI production program."
DoDI 5134.04 CH 1.json,"Under the authority, direction, and control of the Under Secretary of Defense for Acquisition, Technology, and Logistics (USD(AT&L)), the Director of SBP serves as the principal advisor to the USD(AT&L) and the Secretary of Defense to provide small businesses the maximum practicable opportunity to participate as prime contractors or subcontractors for DoD purchases, contracts, and other agreements for the procurement of products or services in accordance with Sections 631-657s of Title 15, USC 2.2."
DoDI 5200.08 CH 3.json,"The Deputy Under Secretary of Defense for Intelligence and Security (DUSD(I&S)), Office of the USD(I), who shall serve as the Chair."
DoDI 5205.83 CH 1.json,"Incorporates and Cancels: Under Secretary of Defense for Intelligence Memorandum, “Incubation of the DoD Insider Threat Management and Analysis Center,” December 12, 2014 Approved by: Todd R. Lowery, Peforming the Duties of the Under Secretary of Defense for Intelligence Change 1 (Administrative) Approved by: Christopher R. Choate, Chief, Directives Division Purpose: In accordance with the authority in DoD Directives 5143.01 and 5205.16, this issuance: • Establishes policy, assigns responsibilities, and prescribes procedures for the DITMAC, which serves as the DoD’s enterprise-level capability for insider threat information integration and management."
DoDI 5205.83.json,"Incorporates and Cancels: Under Secretary of Defense for Intelligence Memorandum, “Incubation of the DoD Insider Threat Management and Analysis Center,” December 12, 2014 Approved by: Todd R. Lowery, Peforming the Duties of the Under Secretary of Defense for Intelligence Purpose: In accordance with the authority in DoD Directives 5143.01 and 5205.16, this issuance: • Establishes policy, assigns responsibilities, and prescribes procedures for the DITMAC, which serves as the DoD’s enterprise-level capability for insider threat information integration and management."
DoDI 5240.27 CH 1.json,"It is DoD policy that: a. JCITA, under the authority, direction, and control of the Director, Defense Intelligence Agency (DIA), serves as the primary professional training and education center for advanced and joint CI training within DoD and is known as the DoD Center of Excellence for CI training."
DoDI 5240.27 CH 2.json,"It is DoD policy that: a. JCITA, under the authority, direction, and control of the Director, Defense Intelligence Agency (DIA), serves as the primary professional training and education center for advanced and joint CI training within DoD and is known as the DoD Center of Excellence for CI training."
DoDI 5400.11 CH 1.json,"Chief, DPCLTD, who serves as the Executive Secretary."
DoDI 5400.11.json,"Chief, DPCLTD, who serves as the Executive Secretary."
DoDI 5500.16 CH 1.json,"Establishes administrative procedures and guidance covering the relationship of the DoD Components with the S&I Staff, serves as the principal DoD liaison to the S&I Staff, and makes such arrangements as are necessary to facilitate the conduct of S&I Staff inquiries."
DoDI 5505.10 CH 1.json,"An MCIO under these circumstances will consult the Attorney General Guidelines for Victim and Witness Assistance, May 2012 Edition (Reference (h)), which serves as a model for guidelines on the fair treatment of crime victims and witnesses for non- Department of Justice federal law enforcement agencies."
DoDI 5525.15 CH 2.json,"The DoD POST Commission will consist of 13 members: (1) Commission Director (dual-hatted position; also serves as the Chief, Office of LE)."
DoDI 5525.15 CH 3.json,"The DoD POST Commission will consist of 13 members: (1) Commission Director (dual-hatted position; also serves as the Chief, Office of LE)."
DoDI 5530.03.json,"An official that serves as the head of one of the DoD Components, as identified in DoDD 5100.01. international agreement."
DoDI 6000.11.json,"l. Through the USTRANSCOM, Command Surgeon’s Office, serves as point of contact for USTRANSCOM-executed NDMS patient movement data in accordance with Section 300hh-11 of Title 42, USC (1) Provides detailed instructions on Bed Reporting requirements, to include frequency of reporting and reporting of bed shortages."
DoDI 6000.14 CH 2.json,"The Director, DHA, under the authority, direction, and control of the USD(P&R), through the ASD(HA), shall serve as the program manager for TRICARE health and medical resources, supervising and administering TRICARE programs and other resources within the DoD."
DoDI 6040.47 CH 1.json,"In addition to the responsibilities in Paragraph 2.4., the Secretary of the Army, through the Surgeon General of the Army, serves as Lead Agent for the JTS; these responsibilities may be delegated as the Secretary deems appropriate, but to a level not lower than the Commander, U.S Army Medical Research and Material Command (USAMRMC), and as such, oversees the functions and activities necessary for the operation of the JTS, which include: a."
DoDI 6040.47 CH 1.json,"(5) The JTS Non-Commissioned Officer in Charge/Leading Chief Petty Officer is an (E-8) Army Combat Medic, Navy Medical Corpsman, or Air Force 4N091/Aerospace Medical Service, with operational experience, who serves as the JTS Senior Enlisted Advisor to the Director, JTS; this position will rotate by Service Military Department."
DoDI 6200.02.json,"The Secretary of the Army shall serve as Lead Component for development of medical protocols and regulatory submissions to the FDA under this Instruction, and in that role shall: 3 DoDI 6200.02, February 27, 2008 5.3.1."
DoDI 6420.01 CH 3.json,The USD(I&S) shall serve as the Principal Staff Assistant to the Secretary of Defense and as the primary DoD representative to the Office of the Director of National Intelligence (ODNI) for medical intelligence issues in accordance with Reference (b).
DoDI 8100.04.json,"The UC MP shall serve as a guideline to the DoD Components in the preparation of migration plans and acquisition plans for phasing in voice and video over IP services and other UC that will operate in converged voice, video, and/or data networks."
DoDI 8100.04.json,"Under this concept: (1) JITC and other DISA labs shall serve as the primary test labs for UC products that support DISA-operated UC, and shall collaborate with other DoD Component labs for testing of emerging UC technologies."
DoDI 8115.02.json,"ENCLOSURE 1 REFERENCES, continued (e) DoD Directive 8000.1, “Management of DoD Information Resources and Information Technology,” February 27, 2002 (f) DoD Directive 8100.1, “Global Information Grid (GIG) Overarching Policy,” September 19, 2002 (g) DoD Directive 5143.01, “Under Secretary of Defense for Intelligence (USD(I)),” November 23, 2005 (h) Chairman of the Joint Chiefs of Staff Instruction 3170.01E, “Joint Capabilities Integration and Development System (JCIDS),” May 11, 2005 (i) DoD Directive 7045.14, “The Planning, Programming and Budgeting System (PPBS),” May 22, 1984 (j) DoD Directive 5000.1, “The Defense Acquisition System,” May 12, 2003 (k) Department of Defense Transformation Planning Guidance, April 20031 (l) Office of Management and Budget Circular A-11, “Preparation, Submission and Execution of the Budget,” Revised November 2, 2005 (m) DoD Directive 8320.2, “Data Sharing in a Net-Centric Department of Defense,” December 2, 2004 (n) Department of Defense Chief Information Officer Executive Board Charter, as amended, July 7, 20052 (o) Department of Defense Net-Centric Data Strategy, May 9, 20033 (p) Defense Acquisition Guidebook, current edition4 (q) Quadrennial Defense Review Report, February 6, 20065 (r) Department of Defense Performance and Accountability Report, current edition6 (s) Government Accountability Office, “Assessing Risks and Returns: A Guide for Evaluating Federal Agencies’ IT Investment Decision-Making,” (GAO/AIMD-10.1.13) Version 1, February 1997 1 The DoD Transformation Planning Guidance is available at: http://www.oft.osd.mil/library/library_files/document_129_Transformation_Planning_Guidance_April_2003_1.pdf 2 The DoD CIO Executive Board Charter is available at: http://www.dod.mil/cio-nii/docs/DoD_CIO_ExecutiveBoardCharter.pdf 3 The DoD Data Strategy is available at: http://www.dod.mil/cio-nii/docs/Net-Centric-Data-Strategy-2003-05-092.pdf 4 The Defense Acquisition Guidebook is available at: http://akss.dau.mil/dag/ 5 The QDR Report , which also serves as the DoD Strategic Plan, is available at: http://www.defenselink.mil/pubs/pdfs/QDR20060203.pdf 6 The DoD Performance and Accountability Report available at: http://www.dod.mil/comptroller/par DoDI 8115.02, October 30, 2006 12 ENCLOSURE 2 E2."
DoDI 8170.01.json,"e. In coordination with the ATSD(PA), serves as the OSD appeal authority to receive and resolve requests for appeal concerning the quality of information publicly distributed by OSD."
DoDI 8260.03 CH 1.json,"In accordance with DoDD 5100.01 (Reference (ai)), OSD comprises the Deputy Secretary of Defense, who also serves as the Chief Management Officer of the Department of Defense; the Under Secretaries of Defense; the CMO; the General Counsel of the Department of Defense (GC DoD); the Assistant Secretaries of Defense (ASDs); the Assistants to the Secretary of Defense (ATSDs); the OSD Directors, and equivalents, who report directly to the Secretary or the Deputy Secretary of Defense; their staffs; the IG DoD; and such other staff offices within OSD established by law or the Secretary of Defense to assist in carrying out assigned responsibilities."
DoDI 8510.01 CH 3.json,"In addition to the responsibilities in paragraph 8 of this enclosure, the Commander, USSTRATCOM, serves as the AO for processing, storing, and transmitting nuclear command, control, and communication data on ISs."
DoDI 8523.01.json,"a. DoD Components must acquire COMSEC products and services through the NSA/CSS, which serves as the centralized COMSEC acquisition authority."
