See Enclosure 3 .,"This instruction is effective September 25 , 2013 .. Lynne M . Halbrooks Acting Inspector General. Enclosures 1 .References 2 .Responsibilities 3 .Procedures Glossary. . Do DI 7750.06 , September 25 , 2013 Change 1 , 04/29/2020. ENCLOSURE 1 3 ENCLOSURE 1. REFERENCES",0.5
Enclosure 3 describes the Installation Geospatial Information and Services Governance Group ( IGG ) .Enclosure 4 lists guidance for the sustainment geospatial information officer ( GIO ) .,"In addition to the responsibilities in Paragraphs 6 and 7 of this enclosure , the Secretary of the Navy ensures the IGI&S requirements of the Marine Corps are met , and that these requirements are fully represented in the IGG .. . Do DI 8130.01 , April 9 , 2015 Change 3 , 08/04/2020 11 ENCLOSURE 3 ENCLOSURE 3. IGG. The IGG will :. Serves as the principal liaison to the Do D GEOINT Manager on all matters pertaining to IGI&S , including the coordination of IGI&S and GEOINT standards .",0.833333333
See Enclosure 3 .,See Enclosure 2 .,0
Cleared for public release .This instruction is available on the Do D Issuances Website at http://www.dtic.mil/whs/directives .,"It is Do D policy that :. Reserve Component Service members of a Military Department and the U . S . Coast Guard ( USCG ) will be afforded the opportunity to use the GSA Airline City Pair Program for travel to attend IDT in accordance with section 12603 of Title 10 , United States Code ( U.S.C . ) ( Reference ( c ) ) .",0.666666667
"his Directive is effective immediately .. Enclosures - 2 E1 .References , continued E2 .Definitions. Do DD 6200.04 , October 9 , 2004 ENCLOSURE 1 8 E","This Instruction :. 1.1 . Reissues Reference ( a ) as a Do D Instruction in accordance with the guidance in Reference ( b ) and the authority in Reference ( c ) .. 1.2 . Updates policy and assigns responsibility for compliance with Reference ( d ) ; sections 1107 and 1107a of title 10 , United States Code ( U.S.C . ) ( Reference ( e ) ) ; Executive Order 13139 ( Reference ( f ) ) ; and Parts 50 , 56 , 312 , Subpart I of Part 314 , Subpart G of Part 601 of title 21 , Code of Federal Regulations ( Reference ( g ) ) , for application of FDA rules to force health protection programs of the Department of Defense involving medical products required to be used under an Emergency Use Authorization ( EUA ) or an investigational new drug ( IND ) application .. 1.3 . Incorporates responsibilities of the Secretary of the Army as the Lead Component for the use of medical products under EUAs or IND applications .. . Do DI 6200.02 , February 27 , 2008",0.666666667
". The provisions of this instruction do not limit the independence of the Inspector General of the Department of Defense of the authority to provide information to Congress and to other entities as provided for in Appendix 3 of Title 5 , United States Code ( also known as “ The Inspector General Act of 1978 , as amended ” ( Reference ( c ) ) ) and Do DD 5106.01 ( Reference ( d ) ) .",". Department of Defense INSTRUCTION. NUMBER 5330.03. February 8 , 2006 Certified current as of May 18 , 2011 Incorporating Change 2 , March 31 , 2020. USD ( A&S ). SUBJECT : Defense Logistics Agency ( DLA ) Document Services. References : ( a ) Do D Directive 5330.3 , “ Defense Automated Printing Service ( DAPS ) , ”. June 25 , 1997 ( hereby cancelled ). ( b ) Deputy Secretary of Defense Memorandum , “ Do D Directives Review –. Phase II , ” July 13 , 2005. ( c ) Do D Directive 5134.01 , “ Under Secretary of Defense for Acquisition , Technology , and Logistics , ” December 9 , 2005 , as amended. ( d ) Deputy Secretary of Defense Memorandum , “ Establishment of the Office of the Under Secretary of Defense for Research and Engineering and the Office of the Under Secretary of Defense for Acquisition and Sustainment , ” July 13 , 2018. 1 . REISSUANCE AND PURPOSE. This Instruction :. 1.1 . Reissues Reference ( a ) as a Do D Instruction , under References ( b ) and ( c ) .. 1.2 . Updates the associated mission , responsibilities , functions , and relationships of DLA Document Services , under DLA .. 2 . APPLICABILITY. This Instruction applies to OSD , the Military Departments , the Chairman of the Joint Chiefs of Staff and the Joint Staff , the Combatant Commands , the Office of the Inspector General of the Department of Defense , the Defense Agencies , the Do D Field Activities , and all other organizational entities within the Department of Defense ( hereinafter referred to collectively as the “ Do D Components ” ) .. . Do DI 5330.03 , February 8 , 2006 Change 2 , 03/31/2020 2 3 .MISSION. Under the Director , DLA , the DLA Document Services will serve as the Do D single manager for printing and high speed high volume duplicating , including both the operation of Do D in house facilities and the procurement of these services from outside the Department of Defense , and as the preferred provider of document conversion and/or automation services ( all of which is hereafter referred to collectively as “ document services ” ) in the Department of Defense , excluding the following :. 3.1 . Intelligence Agencies of the Department of Defense ( the Defense Intelligence Agency , the National Security Agency , and the National Geospatial Intelligence Agency ) .. 3.2 . Tactical activities and National Guard and Reserve organizations , except as mutually agreed by the cognizant Do D Component and the Director , DLA Document Services .. 4 . ORGANIZATION AND MANAGEMENT. The DLA Document Services is established as a component of the DLA .It will consist of a Director and subordinate organizational elements established within assigned resources .. 5 . RESPONSIBILITIES AND FUNCTIONS. 5.1 .The Under Secretary of Defense for Acquisition and Sustainment ( USD ( A&S ) ) :. 5.1.1 . Serves as the principal staff assistant and advisor to the Secretary of Defense on document services policies and programs and provides policy guidance to the Do D Components regarding the operation and management of document services in the Department of Defense .. 5.1.2 . Represents the Department of Defense on printing services policy matters with the Joint Committee on Printing ( JCP ) , Government Printing Office ( GPO ) , Office of Management and Budget ( OMB ) , and other Government Agencies .. 5.2 .The Director , DLA , under the authority , direction , and control of the USD ( A&S ) , as the single manager for Do D document services , including the operation of Do D in house facilities and for the departmental printing services procurement functions :. 5.2.1 . Exercises authority , direction , and control over the DLA Document Services .. 5.2.2 . Appoints a Director to manage and operate the DLA Document Services. 5.2.3 . Provides guidance to the Director regarding the management of the DLA Document Services and its relationships with other commands , organizations , and activities within the DLA , as well as with other Do D Components and Government Agencies .. . Do DI 5330.03 , February 8 , 2006 Change 2 , 03/31/2020 3 5.2.4 . Finances the operations of the DLA Document Services under the Printing and Publications Services Business Area of the Defense Working Capital Fund .. 5.3 .The Director , DLA Document Services , under the Director , DLA :. 5.3.1 . Organizes , directs , and manages the DLA Document Services and all its assigned resources ; produces or procures document services ; and administers , supervises , and controls all assigned programs , services , and functions .. 5.3.2 . Provides effective and efficient document services support to the Do D Components .. 5.3.3 . Conducts a coordinated Do D document services program covering the production , procurement , and distribution of publications .. 5.3.4 . Administers Department wide document services management systems , programs , and activities , including technical assistance , support services , and information .. 5.3.5 . Provides advice and assistance on document services matters to the Do D Components and other organizations , as appropriate .. 5.3.6 . Acts as the Do D representative for technical document services matters under DLA Document Services cognizance with the JCP , GPO , OMB , and other Government Agencies .. 5.3.7 . Ensures that the products and services provided are based on “ best value ” as determined by quality , price , and delivery time .. 5.3.8 . Prescribes the use of DD Forms 282 , “ Do D Printing Requisition/Order , ” 843 , “ Requisition For Printing and Binding Service , ” and 844 , “ Requisition For Local Duplicating Service , ” for Do D wide uniform use in requesting printing , duplicating , and reproduction work from printing and duplicating facilities .. 5.4 .The Under Secretary of Defense ( Comptroller ) /Chief Financial Officer , Department of Defense provides policy guidance on the functioning of the Printing and Publications Services Business Area of the Defense Working Capital Fund and related financial management matters .. 5.5 .The Heads of the Do D Components :. 5.5.1 . Obtain document services through DLA Document Services , consistent with the provisions of this Instruction .. 5.5.2 . Cooperate with and provide necessary information and assistance to the Director , DLA , and Director , DLA Document Services , in establishing requirements , arranging for and executing inter Service support agreements , and enabling the DLA Document Services to provide them with the required products and services in an effective and efficient manner .. Do DI 5330.03 , February 8 , 2006 Change 2 , 03/31/2020 4 6 .RELATIONSHIPS. 6.1 .In the performance of assigned responsibilities and functions , the Director , DLA Document Services will :. 6.1.1 . Maintain liaison with the Do D Components , other Government Agencies , and private sector organizations for the exchange of information concerning assigned programs , activities , and responsibilities .. 6.1.2 .Use existing systems , facilities , and services of the Department of Defense and other Federal Agencies , when practicable , to avoid duplication and to achieve maximum efficiency and economy .. 6.2 .The Heads of the Do D Components will coordinate with the Director , DLA Document Services on all matters related to the responsibilities and functions assigned in this Instruction .. 7 . RELEASABILITY .Cleared for public release .This issuance is available on the Directives Division Website at https://www.esd.whs.mil/DD / .. 8 . SUMMARY OF CHANGE 2 .This change is administrative and updates references and organizational symbols to reflect the reorganization of the Office of the Under Secretary of Defense for Acquisition , Technology , and Logistics , pursuant to the July 13 , 2018 Deputy Secretary of Defense Memorandum ( Reference ( d ) ) .. 9 . EFFECTIVE DATE. This Instruction is effective February 8 , 2006 .. . . Department of Defense INSTRUCTION. NUMBER 5330.03. February 8 , 2006 Certified current as of May 18 , 2011 Incorporating Change 2 , March 31 , 2020. USD ( A&S ). SUBJECT : Defense Logistics Agency ( DLA ) Document Services. References :",0.142857143
"It is Do D policy that :. Individual detainees may be segregated from other detainees for :. Administrative purposes ( e.g . , medical assessment , screening , communicable disease , in processing , disciplinary infractions ) .",It is Do D policy that :,0.777777778
See Enclosure 2 .,Unlimited .This directive is approved for public release and is available on the Internet from the Do D Issuances Website at http://www.dtic.mil/whs/directives . Cleared for public release .This directive is available on the Directives Division Website at http://www.esd.whs.mil/DD / .,0.666666667
"The Commanders of the Combatant Commands , in addition to the responsibilities specified in paragraph 6 of this enclosure , shall :","The Heads of the Do D Components shall :. Ensure that all Do D contractors and other entities operating Do D owned information systems and Do D controlled information systems on behalf of the Department of Defense that receive , process , store , display , or transmit Do D information , regardless of classification or sensitivity , comply with this Instruction .",0.714285714
", DEFENSE INTELLIGENCE MISSION ASSURANCE OFFICE ( DIMAO ) .Under the authority , direction , and control of the USD ( I&S ) , the Director , DIMAO :. Coordinates with the Do D Components that are part of the DIE and the ODNI NIEMA , IC Exercise Forum ( ICEF ) , on mission assurance related exercise planning and exercise participation among these Do D Components and with IC partners in accordance with Do DI 3020.47 ( Reference ( j ) ) and Chairman of the Joint Chiefs of Staff Instruction 3500.01G ( Reference ( k ) ) .. . Do DI 3020.39 , March 2 , 2015 Change 2 , 09/21/2020. ENCLOSURE 2 5",The Do D Component heads ensure that the officials within their Components with responsibility for DIE matters :,0.571428571
